date,crypto crash
"May 23, 2023",5
"May 24, 2023",7
"May 25, 2023",6
"May 26, 2023",0
"May 27, 2023",0
"May 28, 2023",0
"May 29, 2023",5
"May 30, 2023",0
"May 31, 2023",7
"Jun 1, 2023",6
"Jun 2, 2023",6
"Jun 3, 2023",0
"Jun 4, 2023",0
"Jun 5, 2023",28
"Jun 6, 2023",14
"Jun 7, 2023",8
"Jun 8, 2023",6
"Jun 9, 2023",5
"Jun 10, 2023",100
"Jun 11, 2023",26
"Jun 12, 2023",10
"Jun 13, 2023",6
"Jun 14, 2023",13
"Jun 15, 2023",13
"Jun 16, 2023",5
"Jun 17, 2023",5
"Jun 18, 2023",0
"Jun 19, 2023",5
"Jun 20, 2023",6
"Jun 21, 2023",5
"Jun 22, 2023",6
"Jun 23, 2023",5
"Jun 24, 2023",0
"Jun 25, 2023",5
"Jun 26, 2023",0
"Jun 27, 2023",7
"Jun 28, 2023",6
"Jun 29, 2023",7
"Jun 30, 2023",6
"Jul 1, 2023",5
"Jul 2, 2023",0
"Jul 3, 2023",6
"Jul 4, 2023",6
"Jul 5, 2023",0
"Jul 6, 2023",0
"Jul 7, 2023",6
"Jul 8, 2023",0
"Jul 9, 2023",0
"Jul 10, 2023",0
"Jul 11, 2023",0
"Jul 12, 2023",5
"Jul 13, 2023",8
"Jul 14, 2023",13
"Jul 15, 2023",0
"Jul 16, 2023",10
"Jul 17, 2023",0
"Jul 18, 2023",0
"Jul 19, 2023",5
"Jul 20, 2023",7
"Jul 21, 2023",0
"Jul 22, 2023",8
"Jul 23, 2023",8
"Jul 24, 2023",5
"Jul 25, 2023",0
"Jul 26, 2023",0
"Jul 27, 2023",0
"Jul 28, 2023",0
"Jul 29, 2023",0
"Jul 30, 2023",0
"Jul 31, 2023",6
"Aug 1, 2023",6
"Aug 2, 2023",0
"Aug 3, 2023",0
"Aug 4, 2023",6
"Aug 5, 2023",0
"Aug 6, 2023",0
"Aug 7, 2023",0
"Aug 8, 2023",6
"Aug 9, 2023",8
"Aug 10, 2023",0
"Aug 11, 2023",5
"Aug 12, 2023",0
"Aug 13, 2023",8
"Aug 14, 2023",0
"Aug 15, 2023",7
"Aug 16, 2023",14
"Aug 17, 2023",38
"Aug 18, 2023",48
"Aug 19, 2023",12
"Aug 20, 2023",7
"Aug 21, 2023",7
"Aug 22, 2023",14
"Aug 23, 2023",8
"Aug 24, 2023",6
"Aug 25, 2023",7
"Aug 26, 2023",6
"Aug 27, 2023",7
"Aug 28, 2023",5
"Aug 29, 2023",5
"Aug 30, 2023",0
"Aug 31, 2023",6
"Sep 1, 2023",8
"Sep 2, 2023",0
"Sep 3, 2023",0
"Sep 4, 2023",7
"Sep 5, 2023",0
"Sep 6, 2023",0
"Sep 7, 2023",6
"Sep 8, 2023",5
"Sep 9, 2023",0
"Sep 10, 2023",9
"Sep 11, 2023",10
