date,ETH
"Jul 12, 2022",13
"Jul 13, 2022",13
"Jul 14, 2022",12
"Jul 15, 2022",13
"Jul 16, 2022",14
"Jul 17, 2022",16
"Jul 18, 2022",22
"Jul 19, 2022",20
"Jul 20, 2022",19
"Jul 21, 2022",15
"Jul 22, 2022",15
"Jul 23, 2022",13
"Jul 24, 2022",13
"Jul 25, 2022",12
"Jul 26, 2022",14
"Jul 27, 2022",13
"Jul 28, 2022",16
"Jul 29, 2022",15
"Jul 30, 2022",15
"Jul 31, 2022",13
"Aug 1, 2022",13
"Aug 2, 2022",14
"Aug 3, 2022",13
"Aug 4, 2022",14
"Aug 5, 2022",12
"Aug 6, 2022",11
"Aug 7, 2022",12
"Aug 8, 2022",15
"Aug 9, 2022",15
"Aug 10, 2022",15
"Aug 11, 2022",19
"Aug 12, 2022",15
"Aug 13, 2022",16
"Aug 14, 2022",15
"Aug 15, 2022",15
"Aug 16, 2022",14
"Aug 17, 2022",15
"Aug 18, 2022",14
"Aug 19, 2022",16
"Aug 20, 2022",15
"Aug 21, 2022",13
"Aug 22, 2022",14
"Aug 23, 2022",14
"Aug 24, 2022",13
"Aug 25, 2022",13
"Aug 26, 2022",14
"Aug 27, 2022",13
"Aug 28, 2022",12
"Aug 29, 2022",15
"Aug 30, 2022",15
"Aug 31, 2022",14
"Sep 1, 2022",13
"Sep 2, 2022",13
"Sep 3, 2022",13
"Sep 4, 2022",12
"Sep 5, 2022",15
"Sep 6, 2022",19
"Sep 7, 2022",18
"Sep 8, 2022",17
"Sep 9, 2022",17
"Sep 10, 2022",14
"Sep 11, 2022",15
"Sep 12, 2022",29
"Sep 13, 2022",36
"Sep 14, 2022",49
"Sep 15, 2022",100
"Sep 16, 2022",40
"Sep 17, 2022",26
"Sep 18, 2022",23
"Sep 19, 2022",33
"Sep 20, 2022",26
"Sep 21, 2022",25
"Sep 22, 2022",22
"Sep 23, 2022",19
"Sep 24, 2022",18
"Sep 25, 2022",18
"Sep 26, 2022",18
"Sep 27, 2022",19
"Sep 28, 2022",17
"Sep 29, 2022",19
"Sep 30, 2022",17
"Oct 1, 2022",14
"Oct 2, 2022",14
"Oct 3, 2022",15
"Oct 4, 2022",16
"Oct 5, 2022",14
"Oct 6, 2022",16
"Oct 7, 2022",17
"Oct 8, 2022",14
"Oct 9, 2022",13
"Oct 10, 2022",17
"Oct 11, 2022",14
"Oct 12, 2022",16
"Oct 13, 2022",16
"Oct 14, 2022",16
"Oct 15, 2022",13
"Oct 16, 2022",13
"Oct 17, 2022",15
"Oct 18, 2022",15
"Oct 19, 2022",14
"Oct 20, 2022",16
"Oct 21, 2022",16
"Oct 22, 2022",12
"Oct 23, 2022",13
"Oct 24, 2022",15
"Oct 25, 2022",19
"Oct 26, 2022",22
"Oct 27, 2022",17
"Oct 28, 2022",15
"Oct 29, 2022",16
"Oct 30, 2022",15
"Oct 31, 2022",17
"Nov 1, 2022",16
"Nov 2, 2022",16
"Nov 3, 2022",15
"Nov 4, 2022",16
"Nov 5, 2022",15
"Nov 6, 2022",13
"Nov 7, 2022",16
"Nov 8, 2022",21
"Nov 9, 2022",31
"Nov 10, 2022",29
"Nov 11, 2022",21
"Nov 12, 2022",18
"Nov 13, 2022",17
"Nov 14, 2022",20
"Nov 15, 2022",18
"Nov 16, 2022",16
"Nov 17, 2022",17
"Nov 18, 2022",15
"Nov 19, 2022",14
"Nov 20, 2022",15
"Nov 21, 2022",19
"Nov 22, 2022",16
"Nov 23, 2022",16
"Nov 24, 2022",15
"Nov 25, 2022",13
"Nov 26, 2022",13
"Nov 27, 2022",12
"Nov 28, 2022",15
"Nov 29, 2022",15
"Nov 30, 2022",15
"Dec 1, 2022",15
"Dec 2, 2022",13
"Dec 3, 2022",12
"Dec 4, 2022",12
"Dec 5, 2022",13
"Dec 6, 2022",13
"Dec 7, 2022",14
"Dec 8, 2022",14
"Dec 9, 2022",13
"Dec 10, 2022",11
"Dec 11, 2022",12
"Dec 12, 2022",12
"Dec 13, 2022",15
"Dec 14, 2022",15
"Dec 15, 2022",14
"Dec 16, 2022",16
"Dec 17, 2022",13
"Dec 18, 2022",12
"Dec 19, 2022",14
"Dec 20, 2022",14
"Dec 21, 2022",14
"Dec 22, 2022",13
"Dec 23, 2022",13
"Dec 24, 2022",10
"Dec 25, 2022",11
"Dec 26, 2022",11
"Dec 27, 2022",11
"Dec 28, 2022",12
"Dec 29, 2022",12
"Dec 30, 2022",12
"Dec 31, 2022",10
"Jan 1, 2023",11
"Jan 2, 2023",12
"Jan 3, 2023",13
"Jan 4, 2023",14
"Jan 5, 2023",14
"Jan 6, 2023",13
"Jan 7, 2023",12
"Jan 8, 2023",12
"Jan 9, 2023",16
"Jan 10, 2023",15
"Jan 11, 2023",15
"Jan 12, 2023",17
"Jan 13, 2023",16
"Jan 14, 2023",20
"Jan 15, 2023",16
"Jan 16, 2023",18
"Jan 17, 2023",19
"Jan 18, 2023",17
"Jan 19, 2023",15
"Jan 20, 2023",17
"Jan 21, 2023",16
"Jan 22, 2023",15
"Jan 23, 2023",16
"Jan 24, 2023",18
"Jan 25, 2023",16
"Jan 26, 2023",17
"Jan 27, 2023",15
"Jan 28, 2023",14
"Jan 29, 2023",15
"Jan 30, 2023",15
"Jan 31, 2023",14
"Feb 1, 2023",14
"Feb 2, 2023",17
"Feb 3, 2023",15
"Feb 4, 2023",14
"Feb 5, 2023",14
"Feb 6, 2023",15
"Feb 7, 2023",15
"Feb 8, 2023",15
"Feb 9, 2023",14
"Feb 10, 2023",15
"Feb 11, 2023",12
"Feb 12, 2023",14
"Feb 13, 2023",13
"Feb 14, 2023",14
"Feb 15, 2023",15
"Feb 16, 2023",19
"Feb 17, 2023",17
"Feb 18, 2023",15
"Feb 19, 2023",15
"Feb 20, 2023",17
"Feb 21, 2023",18
"Feb 22, 2023",15
"Feb 23, 2023",17
"Feb 24, 2023",15
"Feb 25, 2023",13
"Feb 26, 2023",15
"Feb 27, 2023",16
"Feb 28, 2023",15
"Mar 1, 2023",14
"Mar 2, 2023",14
"Mar 3, 2023",15
"Mar 4, 2023",13
"Mar 5, 2023",12
"Mar 6, 2023",15
"Mar 7, 2023",13
"Mar 8, 2023",14
"Mar 9, 2023",15
"Mar 10, 2023",17
"Mar 11, 2023",15
"Mar 12, 2023",14
"Mar 13, 2023",18
"Mar 14, 2023",20
"Mar 15, 2023",16
"Mar 16, 2023",15
"Mar 17, 2023",18
"Mar 18, 2023",16
"Mar 19, 2023",17
"Mar 20, 2023",17
"Mar 21, 2023",17
"Mar 22, 2023",16
"Mar 23, 2023",18
"Mar 24, 2023",17
"Mar 25, 2023",14
"Mar 26, 2023",15
"Mar 27, 2023",17
"Mar 28, 2023",16
"Mar 29, 2023",16
"Mar 30, 2023",16
"Mar 31, 2023",14
"Apr 1, 2023",14
"Apr 2, 2023",14
"Apr 3, 2023",14
"Apr 4, 2023",17
"Apr 5, 2023",19
"Apr 6, 2023",15
"Apr 7, 2023",16
"Apr 8, 2023",13
"Apr 9, 2023",13
"Apr 10, 2023",17
"Apr 11, 2023",20
"Apr 12, 2023",23
"Apr 13, 2023",25
"Apr 14, 2023",27
"Apr 15, 2023",17
"Apr 16, 2023",17
"Apr 17, 2023",18
"Apr 18, 2023",17
"Apr 19, 2023",19
"Apr 20, 2023",15
"Apr 21, 2023",14
"Apr 22, 2023",14
"Apr 23, 2023",14
"Apr 24, 2023",14
"Apr 25, 2023",15
"Apr 26, 2023",16
"Apr 27, 2023",14
"Apr 28, 2023",13
"Apr 29, 2023",12
"Apr 30, 2023",14
"May 1, 2023",15
"May 2, 2023",15
"May 3, 2023",14
"May 4, 2023",15
"May 5, 2023",16
"May 6, 2023",16
"May 7, 2023",16
"May 8, 2023",17
"May 9, 2023",15
"May 10, 2023",16
"May 11, 2023",58
"May 12, 2023",56
"May 13, 2023",47
"May 14, 2023",48
"May 15, 2023",54
"May 16, 2023",55
"May 17, 2023",52
"May 18, 2023",50
"May 19, 2023",50
"May 20, 2023",44
"May 21, 2023",48
"May 22, 2023",51
"May 23, 2023",57
"May 24, 2023",49
"May 25, 2023",48
"May 26, 2023",52
"May 27, 2023",44
"May 28, 2023",46
"May 29, 2023",51
"May 30, 2023",53
"May 31, 2023",47
"Jun 1, 2023",60
"Jun 2, 2023",49
"Jun 3, 2023",46
"Jun 4, 2023",49
"Jun 5, 2023",53
"Jun 6, 2023",52
"Jun 7, 2023",55
"Jun 8, 2023",46
"Jun 9, 2023",48
"Jun 10, 2023",50
"Jun 11, 2023",45
"Jun 12, 2023",53
"Jun 13, 2023",48
"Jun 14, 2023",53
"Jun 15, 2023",56
"Jun 16, 2023",48
"Jun 17, 2023",44
"Jun 18, 2023",45
"Jun 19, 2023",46
"Jun 20, 2023",51
"Jun 21, 2023",61
"Jun 22, 2023",60
"Jun 23, 2023",54
"Jun 24, 2023",46
"Jun 25, 2023",47
"Jun 26, 2023",50
"Jun 27, 2023",49
"Jun 28, 2023",50
"Jun 29, 2023",52
"Jun 30, 2023",53
"Jul 1, 2023",46
"Jul 2, 2023",47
"Jul 3, 2023",62
"Jul 4, 2023",55
"Jul 5, 2023",50
"Jul 6, 2023",52
"Jul 7, 2023",48
"Jul 8, 2023",41
"Jul 9, 2023",44
"Jul 10, 2023",55
"Jul 11, 2023",47
"Jul 12, 2023",49
"Jul 13, 2023",54
"Jul 14, 2023",64
"Jul 15, 2023",46
"Jul 16, 2023",45
"Jul 17, 2023",54
"Jul 18, 2023",61
"Jul 19, 2023",53
"Jul 20, 2023",50
"Jul 21, 2023",49
"Jul 22, 2023",42
"Jul 23, 2023",45
"Jul 24, 2023",52
"Jul 25, 2023",50
"Jul 26, 2023",49
"Jul 27, 2023",47
"Jul 28, 2023",56
"Jul 29, 2023",44
"Jul 30, 2023",44
"Jul 31, 2023",56
"Aug 1, 2023",50
"Aug 2, 2023",48
"Aug 3, 2023",47
"Aug 4, 2023",47
"Aug 5, 2023",41
"Aug 6, 2023",44
"Aug 7, 2023",52
"Aug 8, 2023",51
"Aug 9, 2023",48
"Aug 10, 2023",53
"Aug 11, 2023",46
"Aug 12, 2023",43
"Aug 13, 2023",41
"Aug 14, 2023",47
"Aug 15, 2023",49
"Aug 16, 2023",48
"Aug 17, 2023",60
"Aug 18, 2023",61
"Aug 19, 2023",49
"Aug 20, 2023",47
"Aug 21, 2023",56
"Aug 22, 2023",54
"Aug 23, 2023",51
"Aug 24, 2023",50
"Aug 25, 2023",47
"Aug 26, 2023",41
"Aug 27, 2023",42
"Aug 28, 2023",48
"Aug 29, 2023",57
"Aug 30, 2023",46
"Aug 31, 2023",48
