date,bullish
"Jul 18, 2022",37
"Jul 19, 2022",37
"Jul 20, 2022",39
"Jul 21, 2022",39
"Jul 22, 2022",33
"Jul 23, 2022",23
"Jul 24, 2022",25
"Jul 25, 2022",34
"Jul 26, 2022",30
"Jul 27, 2022",32
"Jul 28, 2022",36
"Jul 29, 2022",35
"Jul 30, 2022",24
"Jul 31, 2022",23
"Aug 1, 2022",34
"Aug 2, 2022",32
"Aug 3, 2022",34
"Aug 4, 2022",37
"Aug 5, 2022",36
"Aug 6, 2022",26
"Aug 7, 2022",23
"Aug 8, 2022",35
"Aug 9, 2022",27
"Aug 10, 2022",34
"Aug 11, 2022",39
"Aug 12, 2022",35
"Aug 13, 2022",21
"Aug 14, 2022",29
"Aug 15, 2022",33
"Aug 16, 2022",39
"Aug 17, 2022",31
"Aug 18, 2022",37
"Aug 19, 2022",36
"Aug 20, 2022",26
"Aug 21, 2022",25
"Aug 22, 2022",32
"Aug 23, 2022",38
"Aug 24, 2022",38
"Aug 25, 2022",33
"Aug 26, 2022",34
"Aug 27, 2022",22
"Aug 28, 2022",17
"Aug 29, 2022",33
"Aug 30, 2022",38
"Aug 31, 2022",31
"Sep 1, 2022",35
"Sep 2, 2022",31
"Sep 3, 2022",19
"Sep 4, 2022",24
"Sep 5, 2022",29
"Sep 6, 2022",32
"Sep 7, 2022",36
"Sep 8, 2022",30
"Sep 9, 2022",34
"Sep 10, 2022",27
"Sep 11, 2022",25
"Sep 12, 2022",72
"Sep 13, 2022",70
"Sep 14, 2022",76
"Sep 15, 2022",79
"Sep 16, 2022",65
"Sep 17, 2022",41
"Sep 18, 2022",45
"Sep 19, 2022",68
"Sep 20, 2022",70
"Sep 21, 2022",73
"Sep 22, 2022",62
"Sep 23, 2022",70
"Sep 24, 2022",47
"Sep 25, 2022",43
"Sep 26, 2022",69
"Sep 27, 2022",68
"Sep 28, 2022",78
"Sep 29, 2022",69
"Sep 30, 2022",67
"Oct 1, 2022",49
"Oct 2, 2022",41
"Oct 3, 2022",60
"Oct 4, 2022",68
"Oct 5, 2022",60
"Oct 6, 2022",74
"Oct 7, 2022",68
"Oct 8, 2022",42
"Oct 9, 2022",47
"Oct 10, 2022",62
"Oct 11, 2022",66
"Oct 12, 2022",66
"Oct 13, 2022",69
"Oct 14, 2022",63
"Oct 15, 2022",49
"Oct 16, 2022",43
"Oct 17, 2022",68
"Oct 18, 2022",69
"Oct 19, 2022",63
"Oct 20, 2022",68
"Oct 21, 2022",59
"Oct 22, 2022",38
"Oct 23, 2022",35
"Oct 24, 2022",54
"Oct 25, 2022",55
"Oct 26, 2022",56
"Oct 27, 2022",60
"Oct 28, 2022",64
"Oct 29, 2022",38
"Oct 30, 2022",48
"Oct 31, 2022",59
"Nov 1, 2022",75
"Nov 2, 2022",69
"Nov 3, 2022",63
"Nov 4, 2022",68
"Nov 5, 2022",46
"Nov 6, 2022",45
"Nov 7, 2022",72
"Nov 8, 2022",65
"Nov 9, 2022",65
"Nov 10, 2022",69
"Nov 11, 2022",68
"Nov 12, 2022",47
"Nov 13, 2022",44
"Nov 14, 2022",62
"Nov 15, 2022",72
"Nov 16, 2022",68
"Nov 17, 2022",78
"Nov 18, 2022",70
"Nov 19, 2022",44
"Nov 20, 2022",43
"Nov 21, 2022",69
"Nov 22, 2022",63
"Nov 23, 2022",66
"Nov 24, 2022",53
"Nov 25, 2022",46
"Nov 26, 2022",39
"Nov 27, 2022",45
"Nov 28, 2022",51
"Nov 29, 2022",61
"Nov 30, 2022",61
"Dec 1, 2022",65
"Dec 2, 2022",58
"Dec 3, 2022",40
"Dec 4, 2022",44
"Dec 5, 2022",56
"Dec 6, 2022",58
"Dec 7, 2022",62
"Dec 8, 2022",66
"Dec 9, 2022",53
"Dec 10, 2022",38
"Dec 11, 2022",43
"Dec 12, 2022",61
"Dec 13, 2022",63
"Dec 14, 2022",63
"Dec 15, 2022",61
"Dec 16, 2022",53
"Dec 17, 2022",39
"Dec 18, 2022",30
"Dec 19, 2022",54
"Dec 20, 2022",64
"Dec 21, 2022",63
"Dec 22, 2022",54
"Dec 23, 2022",50
"Dec 24, 2022",38
"Dec 25, 2022",41
"Dec 26, 2022",53
"Dec 27, 2022",62
"Dec 28, 2022",56
"Dec 29, 2022",61
"Dec 30, 2022",55
"Dec 31, 2022",36
"Jan 1, 2023",47
"Jan 2, 2023",61
"Jan 3, 2023",59
"Jan 4, 2023",62
"Jan 5, 2023",66
"Jan 6, 2023",67
"Jan 7, 2023",47
"Jan 8, 2023",46
"Jan 9, 2023",75
"Jan 10, 2023",67
"Jan 11, 2023",70
"Jan 12, 2023",69
"Jan 13, 2023",65
"Jan 14, 2023",52
"Jan 15, 2023",46
"Jan 16, 2023",63
"Jan 17, 2023",69
"Jan 18, 2023",74
"Jan 19, 2023",69
"Jan 20, 2023",63
"Jan 21, 2023",49
"Jan 22, 2023",51
"Jan 23, 2023",74
"Jan 24, 2023",58
"Jan 25, 2023",65
"Jan 26, 2023",68
"Jan 27, 2023",69
"Jan 28, 2023",47
"Jan 29, 2023",46
"Jan 30, 2023",62
"Jan 31, 2023",70
"Feb 1, 2023",64
"Feb 2, 2023",80
"Feb 3, 2023",100
"Feb 4, 2023",65
"Feb 5, 2023",59
"Feb 6, 2023",73
"Feb 7, 2023",79
"Feb 8, 2023",78
"Feb 9, 2023",68
"Feb 10, 2023",66
"Feb 11, 2023",51
"Feb 12, 2023",46
"Feb 13, 2023",61
"Feb 14, 2023",61
"Feb 15, 2023",60
"Feb 16, 2023",66
"Feb 17, 2023",62
"Feb 18, 2023",48
"Feb 19, 2023",50
"Feb 20, 2023",61
"Feb 21, 2023",65
"Feb 22, 2023",64
"Feb 23, 2023",70
"Feb 24, 2023",62
"Feb 25, 2023",37
"Feb 26, 2023",46
"Feb 27, 2023",62
"Feb 28, 2023",63
"Mar 1, 2023",66
"Mar 2, 2023",63
"Mar 3, 2023",63
"Mar 4, 2023",46
"Mar 5, 2023",47
"Mar 6, 2023",64
"Mar 7, 2023",58
"Mar 8, 2023",68
"Mar 9, 2023",64
"Mar 10, 2023",61
"Mar 11, 2023",41
"Mar 12, 2023",38
"Mar 13, 2023",61
"Mar 14, 2023",65
"Mar 15, 2023",70
"Mar 16, 2023",71
"Mar 17, 2023",68
"Mar 18, 2023",48
"Mar 19, 2023",50
"Mar 20, 2023",74
"Mar 21, 2023",72
"Mar 22, 2023",74
"Mar 23, 2023",65
"Mar 24, 2023",59
"Mar 25, 2023",50
"Mar 26, 2023",45
"Mar 27, 2023",60
"Mar 28, 2023",69
"Mar 29, 2023",67
"Mar 30, 2023",62
"Mar 31, 2023",61
"Apr 1, 2023",47
"Apr 2, 2023",47
"Apr 3, 2023",65
"Apr 4, 2023",63
"Apr 5, 2023",67
"Apr 6, 2023",62
"Apr 7, 2023",51
"Apr 8, 2023",38
"Apr 9, 2023",51
"Apr 10, 2023",60
"Apr 11, 2023",70
"Apr 12, 2023",66
"Apr 13, 2023",71
"Apr 14, 2023",61
"Apr 15, 2023",46
"Apr 16, 2023",49
"Apr 17, 2023",68
"Apr 18, 2023",67
"Apr 19, 2023",67
"Apr 20, 2023",63
"Apr 21, 2023",60
"Apr 22, 2023",40
"Apr 23, 2023",42
"Apr 24, 2023",57
"Apr 25, 2023",68
"Apr 26, 2023",67
"Apr 27, 2023",61
"Apr 28, 2023",69
"Apr 29, 2023",47
"Apr 30, 2023",45
"May 1, 2023",67
"May 2, 2023",61
"May 3, 2023",65
"May 4, 2023",63
"May 5, 2023",62
"May 6, 2023",42
"May 7, 2023",39
"May 8, 2023",70
"May 9, 2023",66
"May 10, 2023",66
"May 11, 2023",63
"May 12, 2023",55
"May 13, 2023",41
"May 14, 2023",47
"May 15, 2023",67
"May 16, 2023",51
"May 17, 2023",64
"May 18, 2023",67
"May 19, 2023",62
"May 20, 2023",39
"May 21, 2023",41
"May 22, 2023",63
"May 23, 2023",74
"May 24, 2023",62
"May 25, 2023",60
"May 26, 2023",64
"May 27, 2023",48
"May 28, 2023",44
"May 29, 2023",55
"May 30, 2023",71
"May 31, 2023",65
"Jun 1, 2023",74
"Jun 2, 2023",64
"Jun 3, 2023",38
"Jun 4, 2023",48
"Jun 5, 2023",68
"Jun 6, 2023",66
"Jun 7, 2023",74
"Jun 8, 2023",69
"Jun 9, 2023",62
"Jun 10, 2023",49
"Jun 11, 2023",47
"Jun 12, 2023",72
"Jun 13, 2023",76
"Jun 14, 2023",71
"Jun 15, 2023",71
"Jun 16, 2023",77
"Jun 17, 2023",49
"Jun 18, 2023",52
"Jun 19, 2023",59
"Jun 20, 2023",62
"Jun 21, 2023",80
"Jun 22, 2023",78
"Jun 23, 2023",66
"Jun 24, 2023",56
"Jun 25, 2023",50
"Jun 26, 2023",72
"Jun 27, 2023",71
"Jun 28, 2023",65
"Jun 29, 2023",60
"Jun 30, 2023",62
"Jul 1, 2023",48
"Jul 2, 2023",51
"Jul 3, 2023",74
"Jul 4, 2023",65
"Jul 5, 2023",75
"Jul 6, 2023",72
"Jul 7, 2023",73
"Jul 8, 2023",48
"Jul 9, 2023",50
"Jul 10, 2023",75
"Jul 11, 2023",70
"Jul 12, 2023",76
"Jul 13, 2023",80
"Jul 14, 2023",77
"Jul 15, 2023",63
"Jul 16, 2023",51
"Jul 17, 2023",83
"Jul 18, 2023",85
"Jul 19, 2023",79
"Jul 20, 2023",77
"Jul 21, 2023",73
"Jul 22, 2023",59
"Jul 23, 2023",65
"Jul 24, 2023",68
"Jul 25, 2023",75
"Jul 26, 2023",83
"Jul 27, 2023",85
"Jul 28, 2023",80
"Jul 29, 2023",55
"Jul 30, 2023",52
"Jul 31, 2023",83
"Aug 1, 2023",84
"Aug 2, 2023",86
"Aug 3, 2023",69
"Aug 4, 2023",81
"Aug 5, 2023",48
"Aug 6, 2023",53
"Aug 7, 2023",84
"Aug 8, 2023",68
"Aug 9, 2023",68
"Aug 10, 2023",73
"Aug 11, 2023",73
"Aug 12, 2023",45
"Aug 13, 2023",60
"Aug 14, 2023",81
"Aug 15, 2023",67
"Aug 16, 2023",87
"Aug 17, 2023",81
"Aug 18, 2023",75
"Aug 19, 2023",54
"Aug 20, 2023",50
"Aug 21, 2023",76
"Aug 22, 2023",74
"Aug 23, 2023",74
"Aug 24, 2023",81
"Aug 25, 2023",87
"Aug 26, 2023",47
"Aug 27, 2023",51
"Aug 28, 2023",70
"Aug 29, 2023",74
"Aug 30, 2023",77
"Aug 31, 2023",82
"Sep 1, 2023",73
"Sep 2, 2023",51
"Sep 3, 2023",51
"Sep 4, 2023",66
"Sep 5, 2023",75
"Sep 6, 2023",74
"Sep 7, 2023",82
"Sep 8, 2023",78
"Sep 9, 2023",48
"Sep 10, 2023",57
"Sep 11, 2023",77
