date,bearish
"Apr 5, 2023",88
"Apr 6, 2023",82
"Apr 7, 2023",52
"Apr 8, 2023",36
"Apr 9, 2023",47
"Apr 10, 2023",74
"Apr 11, 2023",72
"Apr 12, 2023",79
"Apr 13, 2023",87
"Apr 14, 2023",70
"Apr 15, 2023",54
"Apr 16, 2023",51
"Apr 17, 2023",74
"Apr 18, 2023",82
"Apr 19, 2023",90
"Apr 20, 2023",75
"Apr 21, 2023",77
"Apr 22, 2023",47
"Apr 23, 2023",41
"Apr 24, 2023",69
"Apr 25, 2023",76
"Apr 26, 2023",87
"Apr 27, 2023",76
"Apr 28, 2023",70
"Apr 29, 2023",49
"Apr 30, 2023",47
"May 1, 2023",68
"May 2, 2023",85
"May 3, 2023",84
"May 4, 2023",82
"May 5, 2023",75
"May 6, 2023",48
"May 7, 2023",42
"May 8, 2023",82
"May 9, 2023",84
"May 10, 2023",82
"May 11, 2023",73
"May 12, 2023",58
"May 13, 2023",48
"May 14, 2023",38
"May 15, 2023",72
"May 16, 2023",56
"May 17, 2023",71
"May 18, 2023",74
"May 19, 2023",69
"May 20, 2023",48
"May 21, 2023",51
"May 22, 2023",67
"May 23, 2023",70
"May 24, 2023",58
"May 25, 2023",63
"May 26, 2023",67
"May 27, 2023",45
"May 28, 2023",41
"May 29, 2023",54
"May 30, 2023",68
"May 31, 2023",64
"Jun 1, 2023",74
"Jun 2, 2023",67
"Jun 3, 2023",46
"Jun 4, 2023",50
"Jun 5, 2023",71
"Jun 6, 2023",64
"Jun 7, 2023",71
"Jun 8, 2023",74
"Jun 9, 2023",72
"Jun 10, 2023",49
"Jun 11, 2023",50
"Jun 12, 2023",66
"Jun 13, 2023",75
"Jun 14, 2023",74
"Jun 15, 2023",71
"Jun 16, 2023",67
"Jun 17, 2023",44
"Jun 18, 2023",47
"Jun 19, 2023",68
"Jun 20, 2023",65
"Jun 21, 2023",84
"Jun 22, 2023",82
"Jun 23, 2023",69
"Jun 24, 2023",68
"Jun 25, 2023",43
"Jun 26, 2023",69
"Jun 27, 2023",68
"Jun 28, 2023",58
"Jun 29, 2023",55
"Jun 30, 2023",69
"Jul 1, 2023",40
"Jul 2, 2023",44
"Jul 3, 2023",76
"Jul 4, 2023",64
"Jul 5, 2023",83
"Jul 6, 2023",73
"Jul 7, 2023",86
"Jul 8, 2023",49
"Jul 9, 2023",53
"Jul 10, 2023",75
"Jul 11, 2023",68
"Jul 12, 2023",84
"Jul 13, 2023",87
"Jul 14, 2023",77
"Jul 15, 2023",59
"Jul 16, 2023",48
"Jul 17, 2023",75
"Jul 18, 2023",90
"Jul 19, 2023",82
"Jul 20, 2023",79
"Jul 21, 2023",72
"Jul 22, 2023",55
"Jul 23, 2023",58
"Jul 24, 2023",79
"Jul 25, 2023",86
"Jul 26, 2023",87
"Jul 27, 2023",82
"Jul 28, 2023",83
"Jul 29, 2023",50
"Jul 30, 2023",49
"Jul 31, 2023",84
"Aug 1, 2023",88
"Aug 2, 2023",92
"Aug 3, 2023",77
"Aug 4, 2023",84
"Aug 5, 2023",42
"Aug 6, 2023",41
"Aug 7, 2023",74
"Aug 8, 2023",83
"Aug 9, 2023",84
"Aug 10, 2023",79
"Aug 11, 2023",84
"Aug 12, 2023",44
"Aug 13, 2023",50
"Aug 14, 2023",84
"Aug 15, 2023",75
"Aug 16, 2023",99
"Aug 17, 2023",100
"Aug 18, 2023",78
"Aug 19, 2023",50
"Aug 20, 2023",50
"Aug 21, 2023",78
"Aug 22, 2023",78
"Aug 23, 2023",86
"Aug 24, 2023",81
"Aug 25, 2023",94
"Aug 26, 2023",40
"Aug 27, 2023",54
"Aug 28, 2023",67
"Aug 29, 2023",85
"Aug 30, 2023",81
"Aug 31, 2023",76
"Sep 1, 2023",81
"Sep 2, 2023",60
"Sep 3, 2023",49
"Sep 4, 2023",67
"Sep 5, 2023",78
"Sep 6, 2023",75
"Sep 7, 2023",83
"Sep 8, 2023",87
"Sep 9, 2023",47
"Sep 10, 2023",49
"Sep 11, 2023",79
